name;class;mean_psDelta;std_psDelta;peak_psDelta;min_psDelta;peak_frequency_psDelta;Q1_psDelta;Q2_psDelta;Q3_psDelta;Q_range_psDelta;amplitude_psDelta;spec_centroid_psDelta;kurtosis_psDelta;skewness_psDelta;coef_var_psDelta;flatness_psDelta;1st_moment_psDelta;2nd_moment_psDelta;rms_psDelta;crest_factor_psDelta;line_length_psDelta;nonlinear_energy_psDelta;Hurst_exponent_psDelta;Hjorth_activity_psDelta;Hjorth_mobility_psDelta;Hjorth_complexity_psDelta;Shannon_entropy_psDelta;Renyi_entropy_psDelta;spectral_entropy_psDelta;approx_entropy_psDelta
Z001;Z;23759.984470658514;13495.969846267326;56220.9175769469;5584.792396182723;1.3983719794971932;12814.355419377349;22377.37179392128;30076.956530349467;17262.60111097212;50636.125180764175;2.1521856114980293;-0.06738176851425326;0.7603357058076629;1.7605244188679021;0.003102404907828975;3579512.769501751;100872030113.61673;3266.011250390233;17.21393873650296;260613.8346216898;9831824416.160269;0.49337644044940665;182141202.09135693;0.3813228058667392;1.348870954925409;6.129283016944968;1.845098040014257;-7391727.788016799;0.01459879942115272
Z002;Z;32459.59803773949;13699.86628285888;65170.55256976806;3644.4552657652844;1.440746887966805;24137.386991572206;33503.37485346466;39904.95510961135;15767.568118039144;61526.097304002775;2.4025116878584383;-0.3134693191028508;-0.013988618124751278;2.369336850999238;0.002650282702493968;5458919.456819917;202493375710.23816;4211.059997095803;15.47604465733415;575093.0563808178;31359871396.599068;0.531354938012467;187686336.16821358;0.813850144534728;1.6463887482784691;6.129283016944968;1.845098040014257;-10348565.368650492;0.01459879942115272
Z003;Z;32955.96543819027;15176.460471973407;85600.1410845142;8911.697763225979;1.1864974371491337;24294.038394138683;29774.447244162737;37572.617792981044;13278.579398842361;76688.44332128821;2.220865990382065;1.9359720042952118;1.3723639484902745;2.17151854999725;0.0026674547214273416;5123354.797531849;178830606825.20444;4336.589526378277;19.739046216809815;395139.69675307453;19851134561.797333;0.52213555932424;230324952.4573713;0.5179397586680745;1.4271138244689643;6.129283016944968;1.845098040014257;-10518603.610834101;0.01459879942115272
Z004;Z;18432.36174422091;5550.398212081058;36296.868727322544;9006.654986377715;1.016997803270686;14838.94269772204;17152.35580040347;20264.261583997835;5425.318886275796;27290.21374094483;2.3534733089763473;1.536262339732164;1.3239947076598926;3.320907985322716;0.003797179040865848;3036604.9970494434;56616226332.83288;2300.803834012587;15.775733763456506;143781.84280031986;3819202086.7123585;0.4762828484243183;30806920.3126726;0.5209032739844042;1.4191870127264825;6.129283016944968;1.845098040014257;-5527037.353907246;0.01459879942115272
Z005;Z;32902.58343784821;16812.157886540394;85246.00596850285;10647.367204497901;1.2288723456187456;19066.75826563258;26532.988754687773;48185.024827703695;29118.266562071116;74598.63876400495;2.118961195813833;-0.2552986553348102;0.7507190252969504;1.9570708091071172;0.0026311805328830904;4880350.828277907;176151503829.58194;4416.250267375392;19.30280233397306;420777.7009156376;24208947784.47697;0.5260447278064719;282648652.8019623;0.48728352524472696;1.5785289559179168;6.129283016944968;1.845098040014257;-10529057.613823233;0.01459879942115272
Z006;Z;18437.55967801301;15232.883866134362;74246.11200292481;2714.9047042194393;1.0593727117402978;8675.792155042676;13987.230914412936;19943.316429159666;11267.52427411699;71531.20729870537;2.080401659088285;3.4678820233691496;1.9247675496701264;1.2103787989221964;0.0034288030652061758;2685027.0820574276;64101856136.13246;2858.5319852765283;25.973511013815855;285029.9206604465;14473389460.05463;0.5115061651986444;232040750.87913656;0.48149673573983;1.7157393745726903;6.129283016944968;1.845098040014257;-5658493.623553791;0.01459879942115272
Z007;Z;23533.60964749416;11325.155798650512;59094.90784304937;7514.701506933108;1.016997803270686;16291.201017442952;20637.940220623947;29514.351623717015;13223.150606274063;51580.20633611626;2.3110285682832292;0.9266161593203961;1.051362919891785;2.0779943398481446;0.0032067593650353717;3807079.094712937;100769457842.82455;3121.5608204512446;18.931205009968945;369139.22452266514;18470459544.612698;0.4959523291720662;128259153.86370732;0.7077948896258603;1.806126185136128;6.129283016944968;1.845098040014257;-7279095.5853770375;0.01459879942115272
Z008;Z;13345.8077925889;7032.883268046738;35245.38972979154;2755.1478136925193;2.8391188674639984;9014.68928257315;12339.812489626029;15469.5464637085;6454.85718113535;32490.24191609902;2.420499301710295;0.6349130124364035;1.0029072239166255;1.8976296468938076;0.004355734547420039;2261246.2909904867;38931803298.55491;1803.0610190874938;19.547530203735857;153256.4127795677;3928308394.815958;0.4909564776287016;49461447.06197176;0.5293682438940618;1.5700016719707577;6.129283016944968;1.845098040014257;-3907473.0536155216;0.01459879942115272
Z009;Z;20825.499955918465;13077.666659839777;53972.68004459121;3448.0243617555025;2.8391188674639984;11186.468959019943;18889.639122841476;28329.18941724314;17142.720458223193;50524.655682835706;2.3457931279502455;-0.36899218696302505;0.7275471569669884;1.5924476818079114;0.003270926151357169;3419662.027790517;99870282528.20337;2939.2098395896537;18.362989711590785;235669.0694663758;9687484218.027403;0.527081963569599;171025365.26588485;0.38174264230712207;1.4774193059000342;6.129283016944968;1.845098040014257;-6418662.118781203;0.01459879942115272
Z010;Z;43618.65405703681;31319.155188209148;146584.83121469276;4879.813415263701;1.016997803270686;21147.063784101632;32106.885321008413;59902.17299920778;38755.109215106146;141705.01779942907;1.9658672446652534;0.9300637593972594;1.2214020864780182;1.3927148990742286;0.00212199788829753;6002393.828697967;320754740389.0723;6418.13998806795;22.839145217650376;575681.9562513595;55609565858.20127;0.5524153787143982;980889481.703128;0.3792708763269951;1.6190458115496922;6.129283016944968;1.845098040014257;-14476351.423741963;0.01459879942115272
Z011;Z;26820.157860373776;13060.05522638799;66417.55635370902;10221.200660428309;1.2712472540883575;17376.690831187494;24153.360302949728;32189.677462312917;14812.986631125423;56196.35569328071;2.178561275667212;0.7265857609890531;1.1303715163108483;2.053602178203913;0.0029823511013332992;4090055.0125324326;117812324640.25987;3565.4811540092796;18.62793645088389;392221.0047333064;19540503424.482395;0.5096131611927035;170565042.51630428;0.5684658797840546;1.700196134595999;6.129283016944968;1.845098040014257;-8402437.751171902;0.01459879942115272
Z012;Z;29413.124213936713;12259.656587206595;60751.02250527612;10650.250281184903;2.2882450573590436;19683.096253476382;28774.981781241495;35554.45313505445;15871.356881578067;50100.77222409122;2.4336676135152793;-0.3078717975362055;0.6507025961443842;2.3991801079183896;0.002854356495371758;5010723.746823188;169778974624.54745;3808.6950439763636;15.950613478849355;384767.26684563287;18031024236.63069;0.49536415881235873;150299179.63623807;0.626623072978013;1.542429090142521;6.129283016944968;1.845098040014257;-9276067.649274074;0.01459879942115272
