name;class;mean_psGamma;std_psGamma;peak_psGamma;min_psGamma;peak_frequency_psGamma;Q1_psGamma;Q2_psGamma;Q3_psGamma;Q_range_psGamma;amplitude_psGamma;spec_centroid_psGamma;kurtosis_psGamma;skewness_psGamma;coef_var_psGamma;flatness_psGamma;1st_moment_psGamma;2nd_moment_psGamma;rms_psGamma;crest_factor_psGamma;line_length_psGamma;nonlinear_energy_psGamma;Hurst_exponent_psGamma;Hjorth_activity_psGamma;Hjorth_mobility_psGamma;Hjorth_complexity_psGamma;Shannon_entropy_psGamma;Renyi_entropy_psGamma;spectral_entropy_psGamma;approx_entropy_psGamma
Z001;Z;717.5477435075672;543.7980661823775;2753.5234398105904;6.3042534823696466;34.662675128142546;313.70982598730717;556.1311755666712;985.2655492028994;671.5557232155923;2747.2191863282205;41.20076626873239;0.944890555817619;1.1657158988736354;1.319511392427273;0.021067193091346043;20901406.42490651;22445663634.825905;33.860331753736844;81.3200372588408;72750.24645292402;83022357.38116543;0.5867316751509616;295716.3367836934;0.3014076771844564;1.0968629044615013;9.4655664048094;2.8494194137968996;-1507821.4406746116;0.01625487303868578
Z002;Z;1613.6015368052074;1629.5869845015861;11107.103505609768;86.83692726601588;32.67105443007079;534.4720311760221;1101.320095984967;2097.221991403625;1562.749960227603;11020.266578343751;38.90098265480583;8.503852142443378;2.492473908881037;0.9901904913033729;0.012717587633289831;44378874.574284375;130794391463.034;86.24874112716866;128.77989128250582;152571.51357534656;589705072.3890461;0.5149824404642923;2655553.7400569725;0.2373855390223109;1.2593205179738531;9.4655664048094;2.8494194137968996;-3853177.3706126083;0.007993032363144081
Z003;Z;779.3403346215597;563.8612316753383;2810.5792047633217;19.052352648536573;31.103182816695146;324.12339920828526;638.4670029393817;1168.925775620289;844.8023764120037;2791.526852114785;40.85376508537536;0.25837932647632833;0.915411500332499;1.3821491722457886;0.020192694550769334;22510163.77519623;25322858891.863155;36.177130744478305;77.68938959296264;82782.52971406572;117875611.04571119;0.5644503511567119;317939.4885864295;0.33901577359651985;1.2548249784093102;9.4655664048094;2.8494194137968996;-1654280.1403767897;0.028777556198011034
Z004;Z;2494.2457583570363;1766.37973583154;10109.488546342856;215.77275753066283;32.58630461313156;1150.6131538209283;2051.1661172594286;3581.743300807597;2431.1301469866685;9893.715788812193;41.561493634820515;1.0319222978951714;1.1096571178170378;1.4120665606384157;0.01064188457676356;73290857.50121126;262025112718.6822;114.94638855044462;87.94959697151575;297461.6507530599;1753178702.2766924;0.5549302544521488;3120097.3711563013;0.39148724972547183;1.568523998201564;9.4655664048094;2.8494194137968996;-6170877.312707135;0.0025097448122837207
Z005;Z;919.0339808720404;756.5057109458832;3533.1904419804837;36.881308357956826;32.58630461313156;338.99635460573074;656.6843151408679;1295.2418454979438;956.2454908922131;3496.309133622527;39.57702941461846;0.9618079243424869;1.2131358698052428;1.214840770630724;0.017918004617701877;25715452.870062694;36657119517.31281;44.76758066062359;78.92297036922943;85881.4476381728;169448131.11796433;0.5168522928975906;572300.890693736;0.266187715927903;1.2802386111400528;9.4655664048094;2.8494194137968996;-2013430.2361493984;0.02092041197781036
Z006;Z;1079.3359849577546;887.1064710946246;6326.354544032538;76.36798677109314;31.399807175982428;502.75163251760443;876.1664402354985;1345.5441805997875;842.7925480821831;6249.986557261444;41.33534161290274;8.194938708278602;2.3987537841627176;1.2166927196753878;0.017028577590501696;31542608.208902635;52341697992.24684;52.54383311233345;120.40146615317207;100438.69477915377;216409466.2672901;0.5431269356451852;786957.8910579579;0.27354209442856947;1.2146820000870817;9.4655664048094;2.8494194137968996;-2403458.1092252536;0.019774570842916894
Z007;Z;1963.1528737915921;1280.626870373896;6887.50536457875;82.22369341241165;49.409143275567494;933.5551016507281;1763.2487822106443;2846.805826428395;1913.2507247776668;6805.281671166338;42.31455385645806;0.2633195376862667;0.7385615540759197;1.532962425830112;0.012187325472221015;58730446.17060593;162292438119.0874;88.15229193187638;78.131892133915;194391.97426692548;710584320.2000217;0.5624265871463421;1640005.1811236397;0.3613898804372647;1.3026655003514445;9.4655664048094;2.8494194137968996;-4700555.982714304;0.0014174346809738836
Z008;Z;691.7132263501294;487.6231282786985;2957.194653825078;58.184158287051694;33.264303148645354;327.120752282786;584.9107330502991;945.2292280055688;618.1084757227827;2899.0104955380266;41.14162048047607;2.385350729907393;1.3359501318382634;1.4185406438613064;0.022067936561108552;20119949.549154624;19572035029.84245;31.828827520053075;92.90931788052704;67662.97510305292;86282316.14040792;0.5206995923481699;237776.31523230407;0.3155096441685583;1.3144958309548702;9.4655664048094;2.8494194137968996;-1437576.2918402152;0.02288678695812507
Z009;Z;376.48447788766094;304.8591423330503;1787.3045104933196;25.04487491695114;31.526931901391265;146.01629547999624;273.7853616733441;564.4992731803314;418.4829777003352;1762.2596355763685;40.218996207509015;1.9575468855457636;1.3474166366062534;1.2349456703396546;0.03003296065639515;10705272.246363342;6243548209.372164;18.219146043051282;98.10034489377131;37596.93627510147;28556463.14076985;0.5255215409566243;92939.09666404301;0.28735565182651945;1.2501893733287313;9.4655664048094;2.8494194137968996;-719960.6832183797;0.09577509899785497
Z010;Z;585.0947447524657;604.5426201118157;3088.9186642042287;13.176617421481518;38.81541615816452;134.27091266805482;370.73624494458545;777.0874586646926;642.8165459966377;3075.7420467827474;38.563844497242044;2.354668043334388;1.6423460266055596;0.967830431284145;0.021399572109485142;15952396.446220841;18074722894.76983;31.64083355038616;97.62444024381685;63327.092250313326;95820327.64172798;0.5076122600375341;365471.77953165915;0.3045628124500901;1.2513060056677199;9.4655664048094;2.8494194137968996;-1225850.9918152262;0.051068597366443313
