name;class;SG_average_delta;SG_std_delta;SG_min_delta;SG_peak_delta;SG_kurtosis_delta;SG_skewness_delta;SG_centroid_delta;SG_sbe_delta;SG_sbw_delta;SG_rms_delta;SG_crest_factor_delta;SG_var_coef_delta;SG_Q1_delta;SG_Q2_delta;SG_Q3_delta;SG_interquatile_range_delta;SG_average_theta;SG_std_theta;SG_min_theta;SG_peak_theta;SG_kurtosis_theta;SG_skewness_theta;SG_centroid_theta;SG_sbe_theta;SG_sbw_theta;SG_rms_theta;SG_crest_factor_theta;SG_var_coef_theta;SG_Q1_theta;SG_Q2_theta;SG_Q3_theta;SG_interquatile_range_theta;SG_average_alpha;SG_std_alpha;SG_min_alpha;SG_peak_alpha;SG_kurtosis_alpha;SG_skewness_alpha;SG_centroid_alpha;SG_sbe_alpha;SG_sbw_alpha;SG_rms_alpha;SG_crest_factor_alpha;SG_var_coef_alpha;SG_Q1_alpha;SG_Q2_alpha;SG_Q3_alpha;SG_interquatile_range_alpha;SG_average_beta;SG_std_beta;SG_min_beta;SG_peak_beta;SG_kurtosis_beta;SG_skewness_beta;SG_centroid_beta;SG_sbe_beta;SG_sbw_beta;SG_rms_beta;SG_crest_factor_beta;SG_var_coef_beta;SG_Q1_beta;SG_Q2_beta;SG_Q3_beta;SG_interquatile_range_beta;SG_average_gamma;SG_std_gamma;SG_min_gamma;SG_peak_gamma;SG_kurtosis_gamma;SG_skewness_gamma;SG_centroid_gamma;SG_sbe_gamma;SG_sbw_gamma;SG_rms_gamma;SG_crest_factor_gamma;SG_var_coef_gamma;SG_Q1_gamma;SG_Q2_gamma;SG_Q3_gamma;SG_interquatile_range_gamma;SG_average_entire;SG_std_entire;SG_min_entire;SG_peak_entire;SG_kurtosis_entire;SG_skewness_entire;SG_centroid_entire;SG_sbe_entire;SG_sbw_entire;SG_rms_entire;SG_crest_factor_entire;SG_var_coef_entire;SG_Q1_entire;SG_Q2_entire;SG_Q3_entire;SG_interquatile_range_entire
Z001;Z;19972.720097266585;12283.222216714477;1765.4170622077436;61111.476074761675;0.6251491452702966;1.114904218042081;0.1055736067026176;0.07783780691167014;0.12176844273623902;372.1362850314573;164.21799897743327;1.6260163452948504;10946.865172385762;16310.980666252832;25594.210983615725;14647.345811229963;18730.329210346546;11470.429916370607;2760.609750382082;68192.7729019031;0.9613088493064676;1.2143664085659793;0.6885109214505012;0.14599190709797188;2.4351935131103217;246.48562447399217;276.66024356360964;1.632923033130136;10130.627275025217;15386.413404185398;24118.784991072374;13988.157716047157;10612.345462992189;5631.699643766003;783.445044417618;43845.455182521386;3.265262379114156;1.4960297686882436;0.7229385081402991;0.08271699528211729;5.3539248339204155;134.8279606768855;325.19556746539234;1.8843947891893527;6850.085865857001;9505.043110398645;12954.631093625616;6104.5452277686145;7245.413578301861;4680.546429466772;374.68299914223155;31253.353043381416;0.9526353234292029;1.0837853813801877;7.22224905214363;0.36707931141252376;65.48729839165539;37.969060309256626;823.1268508839561;1.5479845542579715;3628.819572379065;6016.229006303274;9959.66542538921;6330.845853010145;784.665086182222;640.8749153733763;24.28083890296449;6366.117327921655;3.91896016644115;1.617002121356694;2.63010960689866;0.06421803302674489;97.9727883581421;3.508792148547416;1814.3329836613793;1.2243654219561284;303.50467851657265;595.8558115324382;1093.573239266395;790.0685607498223;5479.259893778023;7532.258673644137;24.28083890296449;68192.7729019031;9.458468336408462;2.6250873093792566;12.667609501115967;0.9182136222212515;115.43490913234486;22.543601906935233;3024.9280120992785;0.7274391561923265;607.5999315195339;2105.0526321099533;8052.141103442539;7444.541171923005
Z002;Z;82862.91533800069;31992.37122583182;17843.75960550614;179517.67868465505;-0.06240192095195951;0.5435123719330703;0.1615383051712129;0.11909972387486464;0.17001756101086832;1409.733575679823;127.34156423711859;2.5900835781467215;60389.519474945744;77271.94942378948;104769.98358952838;44380.46411458263;84922.86418215491;32174.605661534402;18056.804886282996;194759.83206501073;-0.08164818640964544;0.4687649138647156;1.1675520472466423;0.2441210192400484;3.3024140984057886;1019.1552108859909;191.09928496141282;2.6394376072705827;62132.171003734606;81586.23593326233;106593.10041831825;44460.92941458365;14013.911108182514;7636.0252870353015;846.6514906925884;50765.83289334287;2.070239971430013;1.2745812816245201;0.3556010620491794;0.04028467829265507;2.9096751173063287;179.1030643202462;283.44480361637335;1.835236341081243;8418.828895904979;12266.126262463431;17815.443541196182;9396.614645291203;9997.413429382195;6011.452185029404;849.5440162120988;44033.11298754285;1.5479368986013053;1.1838188061465131;3.742865334140925;0.186802012246256;54.08715312119068;51.349891219438014;857.5113197294279;1.663061290627781;5566.5490884679375;8722.616148961562;13094.968236626297;7528.419148158359;1805.5285982977462;2068.654985661125;0.06865621030402054;27454.615733132745;24.062016716692202;3.71927222204224;2.1157775931938048;0.0544972028704759;76.15535613656002;9.509543301630451;2887.059332115932;0.872803155099696;547.6920195596887;1140.6471478829899;2322.2206253657414;1774.5286058060528;14102.64498321937;26641.076732870395;0.06865621030402054;194759.83206501073;9.288455395232004;3.0155997478881478;8.831895747137231;0.8716047222316993;99.46109985096658;72.95657351586131;2669.530964508201;0.529357169930718;1178.2071324395688;4195.568786574604;11617.640463265896;10439.433330826327
Z003;Z;29758.631761640296;21991.585871338026;2057.395688629504;124009.5265300615;3.5320873976787537;1.6600318099484452;0.12311408045454714;0.09077013016636158;0.13804474612631515;587.2717978924536;211.16206665311591;1.3531826188317406;13928.594139751189;25189.255561901824;39480.9185646859;25552.324424934708;26237.622697730847;20618.098496234557;1398.752523178309;127913.74330104938;5.069776117257245;2.0713690022642246;0.7550081100599837;0.16006061344519548;2.586017199208948;374.4885396121892;341.5691797498359;1.2725529806990965;12885.228399366955;21195.386018085916;31189.095061144268;18303.866661777312;12330.882070368769;6226.603597999858;639.2630125765685;33610.13457825809;0.07527904607156977;0.7085515065035233;0.6567504807650842;0.07522360433494156;4.937703597201146;155.0254894942855;216.80392487647663;1.9803544382253206;7723.350977115199;11256.128021930705;16136.816280954556;8413.465303839355;8168.984700335514;5798.82856802183;544.2228730758786;35477.61133865895;2.489329548473167;1.4642629956579807;6.678144197124818;0.323922737332289;70.52489875428172;44.09716153020248;804.532766000371;1.4087301606714375;4207.960216679554;6751.548136836795;10704.58930432548;6496.629087645926;978.7486963734923;1044.4108035291995;13.264085079970542;12535.042043569156;23.60400435089647;3.916170466399949;2.482730268200737;0.06269320756791122;89.87280408484453;4.957227313833152;2528.639751618833;0.9371300000595298;389.3367831582318;699.4513182463297;1188.4705759296178;799.133792771386;6897.933533359198;11062.587981107803;13.264085079970542;128067.69405163304;25.44403027338234;4.062795331282235;12.147443877876388;0.9047268092778319;116.98511636554146;31.55345133204274;4058.753912652954;0.6235370552658368;714.3253071004458;2347.5215180503656;8838.84226041978;8124.516953319335
Z004;Z;14871.725013623805;13075.109929289994;1381.3835998151912;92722.96099827695;10.177033071897494;2.839589351300065;0.0683945844767672;0.050426281971235526;0.08364574518129954;314.28087701672706;295.03214410764775;1.137407264187443;7355.768804407301;11472.545653486923;18229.06279745851;10873.293993051211;13861.789111382155;10116.415304496046;1649.4482677690212;77461.26739012249;5.813225282839607;2.1220024954871413;0.4440446881008212;0.09400368628602465;1.7648964806758383;192.58648356013927;402.2154927914946;1.3702273675163918;7257.67935816143;11285.751054336004;16775.984785742672;9518.305427581243;9983.419176854097;7130.033747420645;822.8564738210025;59080.305454554116;11.896916461061753;2.957667475198283;0.594672162572735;0.06770253080767721;4.571101491415398;137.67868613966905;429.1172955748554;1.4001924157043002;5865.354246740335;8295.282508426986;11887.623651289046;6022.2694045487115;8874.439188130982;6163.765720369837;668.6502935387823;45340.58725534439;4.60037146538724;1.9222282943237023;7.856103797942823;0.3911829086104793;67.75649647481188;47.56168121344808;953.3007685717452;1.4397755513002366;4671.35345812337;7156.755653216342;11128.127068290818;6456.773610167448;2570.612807347319;1994.9858118270838;54.54945331671172;39100.39044184321;29.70531113683282;3.196941427025626;7.612732071099537;0.18304234169282563;221.56882990967804;11.269442887088985;3469.5939128134883;1.288536886882947;1209.7455335677796;2070.1444756716414;3456.559304699946;2246.8137711321665;6345.662514359931;6838.942644180108;54.54945331671172;92722.96099827695;17.758060736897377;3.2327037367651394;17.883444406040653;0.9252115123741106;180.57815875865356;22.58012753355073;4106.396691537917;0.9278718720883038;2037.6879011170709;4284.58735892838;8131.9427314825825;6094.254830365511
Z005;Z;31163.360248222172;16715.725728950194;2394.250273571728;76084.07052967515;-0.5263065092876995;0.655823931172206;0.12991911068639714;0.09578737496606665;0.14407178589402764;561.2532101428983;135.561042956536;1.8643139253146468;18353.328869803852;26607.219182955778;42873.89507914845;24520.5662093446;28640.81585059384;16684.402672279542;2482.4501143013686;77355.76411134467;-0.23115936449471564;0.7534900983316131;0.8311696748290757;0.17606757072170393;2.744538909711696;371.9825070232257;207.95538137097066;1.7166221897880345;15682.834343695533;24501.766523091603;39065.39506257907;23382.560718883535;9707.726576142753;5807.325430587958;1212.7102180657644;43146.102147419806;4.51271006821846;1.7346520793481814;0.5191449813384802;0.05967762386407508;4.019813679513987;126.95076493316665;339.86484579383284;1.6716346779897786;5655.424165147;8869.985326223505;12165.327597449417;6509.903432302417;7615.6688474875245;6783.221153517483;174.76183868368662;49074.64520561592;4.933795118700524;2.1575492733783985;6.32778272617956;0.3043094192062568;70.53679390741233;44.89228021114628;1093.1644588957904;1.1227215912809168;3422.7037460105425;5165.346200547452;9273.384494550632;5850.68074854009;1059.3394723990211;1194.3554209074125;7.794344827611395;23094.55644009955;37.625812155061915;4.436030723309998;2.6894623527239405;0.06837832234607659;95.33439371881691;5.529083896321405;4176.922772950644;0.8869549665493938;372.908916163614;718.2880946954937;1299.1916898190786;926.2827736554647;6782.140002240958;10768.484349517727;7.794344827611395;77355.76411134467;9.614663307646941;2.8847087893811705;11.85233353666281;0.8963945299408226;121.2713585959503;30.80145909258004;2511.4318084359647;0.6298137957125508;734.3964498238263;2580.1364599111157;7664.0108380703405;6929.614388246514
Z006;Z;39934.738633941;33536.377578133186;4289.389190454997;225423.40966613483;10.89806274137863;2.9559079804417845;0.13997304480483264;0.1031999869536235;0.1526864117888615;827.6506111957331;272.3654240289371;1.1907886753988528;21557.718966978537;32497.175131209377;45319.33182593092;23761.612858952387;39647.387310330254;34673.78956666108;3863.4044079007713;255413.78471954464;11.763009395722879;3.0650886637292647;0.9755585140771312;0.20491481818257515;3.0302342238481486;591.0954484257828;432.10243861590834;1.1434396933772506;20926.649271407136;31385.414169796255;45040.73585733757;24114.086585930432;8871.399802193106;5611.189795039136;947.9644645118817;45359.06812642596;7.160533277879901;2.139832768281392;0.4023385827614312;0.04585122503186178;3.235147914311716;117.80271331882585;385.0426433189566;1.5810193784634283;5306.235612466286;7590.865454355485;10995.048224166165;5688.812611699879;7985.261358775036;5099.6696984950595;677.4418297561627;35746.51199842871;2.958812298764819;1.5871198651682414;5.316699635285703;0.2682633128717668;62.42612665412619;41.70625310648758;857.1019771821265;1.5658389328884437;4500.168403735333;6557.645783433154;10077.120613818064;5576.952210082731;1167.5392719318395;1083.3535835222085;17.290800155309157;12716.418137022541;8.53038002421797;2.493887881029814;2.564620789588292;0.06336064481225535;95.12037812188954;5.516180456855649;2305.294077393399;1.0777084136611481;496.01974893055933;833.1810686082287;1406.7955533691722;910.7758044386129;7990.606114521069;15987.152944380454;17.290800155309157;255413.78471954464;61.24581312420703;6.371455220193433;10.645770113276878;0.8879264125439394;116.55050968435086;43.25779543278404;5904.456807476894;0.49981420346202404;851.5767714179584;3032.3317636700285;8229.528772742668;7377.952001324709
Z007;Z;21532.958153840966;17720.239906265575;2120.747195260265;102015.25932137859;5.249112947750177;2.1650412248078013;0.09277389714843497;0.06840077665456872;0.10920657919458586;442.59231463614555;230.49487292892823;1.2151617736409583;11084.426795131845;16393.921253749657;26506.715828105585;15422.28903297374;19217.764216114283;14366.352973412148;1684.589001568923;97883.3302571618;5.755200759086666;2.0756155212383365;0.5776921706742238;0.12209283913108043;2.162808401486993;269.27333860686537;363.5091790504735;1.3376926107607585;10054.833240286338;15411.97361829961;24058.347774084174;14003.514533797836;10482.244332906217;8579.618723432735;608.9751042364562;58717.384878869096;6.849518045896684;2.4235973391710384;0.5850453110240442;0.06659499807980096;4.508496969655076;152.01721022075964;386.2548509711474;1.2217610911166732;5208.755870815867;8179.15709538187;12085.699500185066;6876.9436293692;8835.655693645078;5347.441058779166;797.6845330772951;42387.13858257679;2.51426802089542;1.4004303066145705;7.186672699546245;0.3648711057690163;65.30033722735807;45.46130267553258;932.3784424987382;1.6523147420464097;5055.969653893372;7801.601475139898;11019.099372282877;5963.129718389505;2137.873063938866;1755.0585032296228;34.02356729822324;20543.18928060015;16.362718627769667;3.015581832690848;5.973216690936371;0.14261281312435686;192.10924761592926;9.579582503996141;2144.4764708723496;1.2181206837292293;1032.353199686104;1755.0288559118158;2710.8888021259945;1678.5356024398905;6756.485838879046;8482.175100461638;34.02356729822324;102015.25932137859;23.81618492470312;3.8101810950276045;15.689863307539975;0.9228830357596215;170.7388444038537;26.246377449995304;3886.831983413271;0.7965510920083845;1735.5576453014407;3812.53204742671;8875.87997422019;7140.322328918749
Z008;Z;10434.545818645765;5261.34626232304;1135.0271380317267;23521.108045996545;-1.0250901831429917;0.2127770487083906;0.09721025016298863;0.07167163193861266;0.11362661579463554;185.46796347193737;126.82032845826475;1.983246359086544;5943.849866599128;10225.730745616649;14741.81013054777;8797.960263948642;9607.05231408228;5050.496053388979;730.5088494748164;27574.92062484309;-0.5339763857148387;0.4152457942800196;0.6230022424842243;0.1319756756905525;2.276498026480953;121.80576919597053;226.3843560683766;1.9021997468220504;5302.014650008977;9226.719563679308;13166.81317179779;7864.798521788814;5013.755999598975;2775.162848295589;474.8491944653695;15845.335409084038;0.920210877447444;1.1083369479366347;0.6012231323893057;0.06887584392818465;4.581240693459283;64.31119052278362;246.3853534708005;1.8066528970284588;3007.696472286286;4414.250355458087;6182.067933524428;3174.371461238142;4048.794695091908;2475.6149634748635;206.95480421887837;13544.938506860588;0.6467766908826031;1.0363600624794012;7.465595728080617;0.3615287590783559;71.38998096041072;20.889634387600086;648.4047664759873;1.6354702790327589;2179.2061730120577;3524.6762138879967;5253.2789537904655;3074.072780778408;800.3636728601018;721.0345139932214;6.99280614306717;8727.38233918411;13.734468630431689;3.0464260955453795;4.662972009748544;0.11544640304238128;154.30567572181036;3.7308911467627883;2339.221916661028;1.1100213059532213;359.81874604979333;608.7729826247532;976.6694941670332;616.8507481172398;3105.608375893195;3659.395329110408;6.99280614306717;27574.92062484309;4.75903828459395;2.0558674611810583;14.858099971422655;0.9172524656304811;151.140950506692;11.616461094094673;2373.7797941630465;0.8486670874797674;613.763230358007;1604.6806008493104;4275.777589386424;3662.0143590284165
Z009;Z;16021.045544624936;13191.922225910646;614.005174367669;69898.19950857482;3.298885275786808;1.6465326814786219;0.14632495365617945;0.1078831522838026;0.1579525512254558;329.3764478867975;212.21371460232015;1.2144587627387253;6512.137661418157;11976.01424532555;21093.56241132065;14581.424749902493;14296.535708822808;12181.710694568115;699.2610026800019;72563.4545598236;4.936248810915732;1.97942096230196;0.9084745141153624;0.19254115902856458;2.8831394418119243;210.78747899181056;344.24935915023116;1.1736065703150957;6089.251181873888;10292.15543723921;18906.454478150456;12817.203296276568;7488.835437574281;4776.790214510418;591.6226443914304;30135.059542011084;2.063533024815153;1.3181338910524816;0.8806774168089656;0.10085723452814485;6.2627141087922995;99.68488194418224;302.30320740997587;1.5677547267672556;4152.80247403436;6360.174368597787;9879.62684058044;5726.8243665460805;2302.5824878393155;1681.6813950782785;92.13730816181926;13821.976573829405;3.2836637630172856;1.6105773638493281;3.603165334658925;0.20156787735018064;45.47928636043404;12.550952868237932;1101.269100357152;1.3692144627265355;1075.4764599498606;1831.921737277084;3019.604614223282;1944.1281542734216;400.12427075807574;321.54996398765053;3.387791307492381;2978.8325728010714;4.051884177145423;1.740715135046475;2.2948185516114097;0.056581826560723365;85.9082549992398;1.7777893860739231;1675.5823812063231;1.2443611120212812;176.89755898537823;304.1293476747303;528.3820212532801;351.48446226790185;3047.6719175925505;6209.1285402637095;3.387791307492381;72563.4545598236;31.72213232003734;4.785531133350358;9.181924395795319;0.8824689665401817;96.6061166573193;16.74068721178697;4334.556499492584;0.490837304756959;305.2837771403491;853.4139978678943;2891.7140343514097;2586.4302572110605
Z010;Z;52988.37640893087;37375.32939650059;4749.30705100025;218965.03071057942;4.805558439456807;1.9521903042124704;0.18798130761797127;0.138595745493349;0.18918794444873155;1029.1327304162332;212.76655988000587;1.417736706660092;27304.64440430597;45360.34555120161;64345.64640759852;37041.00200329255;49836.631574420164;37056.98520856441;4079.639937253624;242097.6814629468;5.128460322581033;1.9675820437518028;1.2351498677511028;0.2607041609514188;3.3182403741043554;696.9626438200519;347.3610581709366;1.3448647075289382;24830.101390727345;41252.78696519253;62838.687369463674;38008.58597873633;11404.844474122789;9312.158048447582;693.1075760115593;88805.24841203075;17.060954078677494;3.149023004309692;0.5178269206742077;0.05966074181734462;4.000525153172472;165.23655472505192;537.4431133582983;1.2247262573066053;5527.465904728994;9062.541047227649;14413.504871585656;8886.03896685666;3417.837441014698;2104.543252375164;223.0153770396975;20455.673378595147;4.970865302155083;1.7182294766154675;2.2390281662108484;0.11621549635600373;36.59740576625781;17.66812564237588;1157.7726914921586;1.6240281292187106;1951.048143564773;2968.44506738606;4305.506030978626;2354.457887413853;653.796429339558;664.2326031232607;0.9972398472261323;6894.079010654406;5.721233344027604;2.051835399712621;1.3994173814726565;0.03591129985459605;52.249723243680606;3.2278897417766927;2135.785160635559;0.9842883746828579;170.2050491726018;453.23227815617605;916.0229750898825;745.8179259172807;7620.634747142007;19227.717590900676;0.9972398472261323;242097.6814629468;33.223887576376306;4.997104599148087;6.867209549398721;0.8570948554405985;70.39992437261917;50.058790210398044;4836.267126021337;0.396335899521865;466.4035847297331;1521.413518850391;4264.126374266346;3797.7227895366127
