name;class;SG_average_alpha;SG_std_alpha;SG_min_alpha;SG_peak_alpha;SG_kurtosis_alpha;SG_skewness_alpha;SG_centroid_alpha;SG_sbe_alpha;SG_sbw_alpha;SG_rms_alpha;SG_crest_factor_alpha;SG_var_coef_alpha;SG_Q1_alpha;SG_Q2_alpha;SG_Q3_alpha;SG_interquatile_range_alpha
Z001;Z;10612.345462992189;5631.699643766003;783.445044417618;43845.455182521386;3.265262379114156;1.4960297686882436;0.7229385081402991;0.08271699528211729;5.3539248339204155;134.8279606768855;325.19556746539234;1.8843947891893527;6850.085865857001;9505.043110398645;12954.631093625616;6104.5452277686145
Z002;Z;14013.911108182514;7636.0252870353015;846.6514906925884;50765.83289334287;2.070239971430013;1.2745812816245201;0.3556010620491794;0.04028467829265507;2.9096751173063287;179.1030643202462;283.44480361637335;1.835236341081243;8418.828895904979;12266.126262463431;17815.443541196182;9396.614645291203
Z003;Z;12330.882070368769;6226.603597999858;639.2630125765685;33610.13457825809;0.07527904607156977;0.7085515065035233;0.6567504807650842;0.07522360433494156;4.937703597201146;155.0254894942855;216.80392487647663;1.9803544382253206;7723.350977115199;11256.128021930705;16136.816280954556;8413.465303839355
Z004;Z;9983.419176854097;7130.033747420645;822.8564738210025;59080.305454554116;11.896916461061753;2.957667475198283;0.594672162572735;0.06770253080767721;4.571101491415398;137.67868613966905;429.1172955748554;1.4001924157043002;5865.354246740335;8295.282508426986;11887.623651289046;6022.2694045487115
Z005;Z;9707.726576142753;5807.325430587958;1212.7102180657644;43146.102147419806;4.51271006821846;1.7346520793481814;0.5191449813384802;0.05967762386407508;4.019813679513987;126.95076493316665;339.86484579383284;1.6716346779897786;5655.424165147;8869.985326223505;12165.327597449417;6509.903432302417
Z006;Z;8871.399802193106;5611.189795039136;947.9644645118817;45359.06812642596;7.160533277879901;2.139832768281392;0.4023385827614312;0.04585122503186178;3.235147914311716;117.80271331882585;385.0426433189566;1.5810193784634283;5306.235612466286;7590.865454355485;10995.048224166165;5688.812611699879
Z007;Z;10482.244332906217;8579.618723432735;608.9751042364562;58717.384878869096;6.849518045896684;2.4235973391710384;0.5850453110240442;0.06659499807980096;4.508496969655076;152.01721022075964;386.2548509711474;1.2217610911166732;5208.755870815867;8179.15709538187;12085.699500185066;6876.9436293692
Z008;Z;5013.755999598975;2775.162848295589;474.8491944653695;15845.335409084038;0.920210877447444;1.1083369479366347;0.6012231323893057;0.06887584392818465;4.581240693459283;64.31119052278362;246.3853534708005;1.8066528970284588;3007.696472286286;4414.250355458087;6182.067933524428;3174.371461238142
Z009;Z;7488.835437574281;4776.790214510418;591.6226443914304;30135.059542011084;2.063533024815153;1.3181338910524816;0.8806774168089656;0.10085723452814485;6.2627141087922995;99.68488194418224;302.30320740997587;1.5677547267672556;4152.80247403436;6360.174368597787;9879.62684058044;5726.8243665460805
Z010;Z;11404.844474122789;9312.158048447582;693.1075760115593;88805.24841203075;17.060954078677494;3.149023004309692;0.5178269206742077;0.05966074181734462;4.000525153172472;165.23655472505192;537.4431133582983;1.2247262573066053;5527.465904728994;9062.541047227649;14413.504871585656;8886.03896685666
