name;class;SG_average_delta;SG_std_delta;SG_min_delta;SG_peak_delta;SG_kurtosis_delta;SG_skewness_delta;SG_centroid_delta;SG_sbe_delta;SG_sbw_delta;SG_rms_delta;SG_crest_factor_delta;SG_var_coef_delta;SG_Q1_delta;SG_Q2_delta;SG_Q3_delta;SG_interquatile_range_delta
Z001;Z;19972.720097266585;12283.222216714477;1765.4170622077436;61111.476074761675;0.6251491452702966;1.114904218042081;0.1055736067026176;0.07783780691167014;0.12176844273623902;372.1362850314573;164.21799897743327;1.6260163452948504;10946.865172385762;16310.980666252832;25594.210983615725;14647.345811229963
Z002;Z;82862.91533800069;31992.37122583182;17843.75960550614;179517.67868465505;-0.06240192095195951;0.5435123719330703;0.1615383051712129;0.11909972387486464;0.17001756101086832;1409.733575679823;127.34156423711859;2.5900835781467215;60389.519474945744;77271.94942378948;104769.98358952838;44380.46411458263
Z003;Z;29758.631761640296;21991.585871338026;2057.395688629504;124009.5265300615;3.5320873976787537;1.6600318099484452;0.12311408045454714;0.09077013016636158;0.13804474612631515;587.2717978924536;211.16206665311591;1.3531826188317406;13928.594139751189;25189.255561901824;39480.9185646859;25552.324424934708
Z004;Z;14871.725013623805;13075.109929289994;1381.3835998151912;92722.96099827695;10.177033071897494;2.839589351300065;0.0683945844767672;0.050426281971235526;0.08364574518129954;314.28087701672706;295.03214410764775;1.137407264187443;7355.768804407301;11472.545653486923;18229.06279745851;10873.293993051211
Z005;Z;31163.360248222172;16715.725728950194;2394.250273571728;76084.07052967515;-0.5263065092876995;0.655823931172206;0.12991911068639714;0.09578737496606665;0.14407178589402764;561.2532101428983;135.561042956536;1.8643139253146468;18353.328869803852;26607.219182955778;42873.89507914845;24520.5662093446
Z006;Z;39934.738633941;33536.377578133186;4289.389190454997;225423.40966613483;10.89806274137863;2.9559079804417845;0.13997304480483264;0.1031999869536235;0.1526864117888615;827.6506111957331;272.3654240289371;1.1907886753988528;21557.718966978537;32497.175131209377;45319.33182593092;23761.612858952387
Z007;Z;21532.958153840966;17720.239906265575;2120.747195260265;102015.25932137859;5.249112947750177;2.1650412248078013;0.09277389714843497;0.06840077665456872;0.10920657919458586;442.59231463614555;230.49487292892823;1.2151617736409583;11084.426795131845;16393.921253749657;26506.715828105585;15422.28903297374
Z008;Z;10434.545818645765;5261.34626232304;1135.0271380317267;23521.108045996545;-1.0250901831429917;0.2127770487083906;0.09721025016298863;0.07167163193861266;0.11362661579463554;185.46796347193737;126.82032845826475;1.983246359086544;5943.849866599128;10225.730745616649;14741.81013054777;8797.960263948642
Z009;Z;16021.045544624936;13191.922225910646;614.005174367669;69898.19950857482;3.298885275786808;1.6465326814786219;0.14632495365617945;0.1078831522838026;0.1579525512254558;329.3764478867975;212.21371460232015;1.2144587627387253;6512.137661418157;11976.01424532555;21093.56241132065;14581.424749902493
Z010;Z;52988.37640893087;37375.32939650059;4749.30705100025;218965.03071057942;4.805558439456807;1.9521903042124704;0.18798130761797127;0.138595745493349;0.18918794444873155;1029.1327304162332;212.76655988000587;1.417736706660092;27304.64440430597;45360.34555120161;64345.64640759852;37041.00200329255
Z011;Z;22705.01814342174;15656.799807124607;800.6683692027217;87364.53868526281;1.3238463170494414;1.2494689313073384;0.13371502305980468;0.09858604315220897;0.1473647213317536;437.7217262089429;199.58922176862671;1.4501697935161597;11331.441573907185;20114.140027926653;28873.66291761348;17542.221343706296
Z012;Z;24165.016626997534;15627.134496530447;1386.550991177728;90780.760784783;2.0447752324105197;1.287454147364297;0.13590224058370975;0.10019864520888686;0.14923980392401856;456.73117424849363;198.76191051367107;1.5463498207149031;11563.189412990232;22024.467412319165;30822.554871836946;19259.365458846714
Z013;Z;13736.726186232116;8994.011877359706;294.96166145006157;46845.35428059102;0.372986493001207;0.8468553941203167;0.1213905124158229;0.08949936978990455;0.13649288505919024;260.58928374439864;179.76700195599642;1.5273191067059928;6471.996805015387;11842.324476675767;19110.975224824844;12638.978419809457
