name;class;mean_ts;std_ts;peak_ts;min_ts;peak_frequency_ts;Q1_ts;Q2_ts;Q3_ts;Q_range_ts;amplitude_ts;spec_centroid_ts;kurtosis_ts;skewness_ts;coef_var_ts;1st_moment_ts;2nd_moment_ts;rms_ts;crest_factor_ts;line_length_ts;nonlinear_energy_ts;Hurst_exponent_ts;Hjorth_activity_ts;Hjorth_mobility_ts;Hjorth_complexity_ts;Shannon_entropy_ts;Renyi_entropy_ts;approx_entropy_ts
Z001;Z;6.816451061752502;42.590723484366364;185;-190;133.65046131315597;-20.0;7.0;35.0;55.0;375;78.91296197252088;0.541093316912296;-0.1821313415554348;0.16004543957217804;2203802.2890065904;694819162.6297536;0.6738668938862231;274.53492919513525;46755;1737757;0.7746793398691076;1813.9697269217568;0.3368258331816752;0.7323830079528515;7.391959762684381;2.3805113331366106;1.5003207173456738
Z002;Z;-52.444715645594336;48.81266768228908;169;-254;110.51376128874787;-84.0;-51.0;-20.0;64.0;423;85.2117836293703;0.6256030453579986;-0.09271499211959769;-1.0744078972889877;-18309115.10130828;1826558617.3226364;1.1193294400072682;150.9832529723355;61118;3592214;0.6684577156316905;2382.6765262615886;0.393593953634572;0.7649928385208624;7.566810239706895;2.4503875239567408;1.4611330488692502
Z003;Z;12.705150109836465;47.14478921309286;184;-146;152.973419575299;-18.0;13.0;44.0;62.0;330;86.19786442810039;0.15641439979311755;-0.004099908422673498;0.2694921394686826;4486857.437075909;891289208.8264878;0.7628249319487693;241.2086866772169;51269;2210939;0.7568546274774669;2222.6311499469566;0.33861558626657634;0.7444367176912545;7.548441993001476;2.4315727885866836;1.4688133611694498
Z004;Z;-3.992433487917989;47.072316379722885;162;-181;16.653339028557482;-36.0;-4.0;27.0;63.0;343;81.49588406435855;0.18573236473385046;0.06367751324413805;-0.0848148932317635;-1333028.1756407127;812017623.5289578;0.7380555654541675;219.49566886649274;75014;4106991;0.6878575913371046;2215.8029693527274;0.4944415994145886;1.0495388775279964;7.539660213501389;2.427181452281565;1.5749256440377604
Z005;Z;-17.99926775689529;44.910957922526904;152;-188;145.34593605076887;-48.0;-18.0;11.0;59.0;340;83.89026821309379;0.3973123366227025;0.14275337323253015;-0.40077675002935154;-6186320.048838175;876314280.7246646;0.7559006804709786;201.08461855768334;52873;2470252;0.7114812668868187;2016.9941415189824;0.36805011761565937;0.8725492416868852;7.463951635081502;2.414841421712079;1.5841605840555806
Z006;Z;-27.8230412496949;45.02271469917802;123;-180;15.424466682938737;-57.0;-28.0;1.0;58.0;303;88.9103399549631;0.19006242843439614;0.0025011817593482595;-0.617977868184898;-10134978.5618062;918148539.7292117;0.8268685562355972;148.75399369395535;52734;2438580;0.7630692615612628;2027.0448388835803;0.364315076460579;0.7694609467076607;7.476030863774414;2.4076174109451793;1.5090785852246578
Z007;Z;-13.33463509885282;46.25943284337101;147;-177;13.09384671711008;-43.0;-13.0;17.0;60.0;324;85.79853076986532;0.17054142308130826;0.003178683279414835;-0.2882576434519274;-4687345.333019283;791203613.5995071;0.7521424318479599;195.4417059529956;63591;3008852;0.7388836487697199;2139.9351269903523;0.4222166848710223;0.7892317603778274;7.521084307541012;2.42391551927627;1.4993848489662112
Z008;Z;-5.653893092506713;32.34212408132114;129;-124;28.857312667805715;-28.0;-5.0;16.0;44.0;253;88.83005926446427;0.16284873131332267;-0.023596653944598325;-0.17481514443178023;-2057659.4928020504;390612307.5208909;0.512946733374659;251.48810121338215;41753;1327964;0.7523044957791227;1046.0129900915729;0.39447507691508965;0.7854715665860179;7.018997224466413;2.2903189488351705;1.5758860453712202
Z009;Z;8.200878691725652;31.478247685248174;117;-93;160.728027825238;-13.0;9.0;29.0;42.0;210;91.86550353581879;-0.01901004127813488;-0.002426031720372573;0.260525260927052;3086589.0532999756;400565283.4778253;0.5082032674599086;230.22284092108862;32107;980276;0.7019771415122671;990.880077333832;0.3115370007110028;0.9700856799135981;6.982473661828558;2.2670759891752086;1.6138274916285402
Z010;Z;-27.36953868684403;43.70031442335459;122;-190;39.87478886990481;-57.0;-29.0;0.0;57.0;312;89.42182206950753;0.30725344275484634;0.20265028735172702;-0.6263007268482497;-10027137.174120087;973907808.6862949;0.8055835671904497;151.44300972459848;36728;1505383;0.7411086467077997;1909.7174807000533;0.2633166572470709;0.7918284027555709;7.416581966390619;2.3954185278169704;1.482498788892877
